SPID,GeoID,PID,SaleDate,Amount,Customers,Boxes
SP09,E4,P11,01/14/2021,5096,201,196
SP25,E2,P08,01/14/2021,2135,183,98
SP13,E2,P04,01/14/2021,35,142,3
SP11,E1,P19,01/14/2021,13090,17,935
SP05,E6,P20,01/14/2021,15785,209,1128
SP20,E5,P12,01/14/2021,14574,86,810
SP11,E4,P17,01/14/2021,3556,195,143
SP02,E2,P12,01/14/2021,14532,142,969
SP23,E4,P17,01/14/2021,4445,340,159
SP17,E2,P01,01/14/2021,10339,207,357
SP03,E4,P11,01/14/2021,1351,282,55
SP02,E4,P15,01/14/2021,4011,260,335
SP17,E6,P12,01/14/2021,5306,333,483
SP24,E2,P11,01/14/2021,18704,78,585
SP21,E3,P20,01/14/2021,9310,62,582
SP04,E4,P06,01/14/2021,1211,37,61
SP09,E3,P04,01/15/2021,3094,317,148
SP17,E4,P04,01/15/2021,4949,244,248
SP06,E4,P08,01/15/2021,308,91,19
SP11,E1,P17,01/15/2021,7546,49,329
SP12,E2,P13,01/15/2021,6713,422,373
SP14,E4,P17,01/15/2021,6895,318,300
SP02,E4,P05,01/15/2021,3430,120,202
SP21,E4,P14,01/18/2021,4165,61,348
SP25,E1,P03,01/18/2021,2380,209,159
SP03,E6,P14,01/18/2021,6594,114,413
SP04,E5,P04,01/18/2021,1428,55,76
SP19,E5,P07,01/18/2021,2646,150,116
SP10,E1,P01,01/18/2021,238,364,11
SP24,E5,P04,01/18/2021,945,298,50
SP11,E6,P10,01/18/2021,9436,102,337
SP17,E2,P10,01/18/2021,4081,116,152
SP04,E2,P08,01/18/2021,10556,25,587
SP01,E2,P14,01/18/2021,2331,38,167
SP11,E3,P16,01/19/2021,896,346,32
SP20,E1,P18,01/19/2021,4214,314,169
SP20,E3,P09,01/19/2021,2121,90,177
SP23,E1,P13,01/19/2021,1029,386,47
SP08,E1,P05,01/19/2021,15407,103,771
SP03,E4,P17,01/19/2021,10129,134,406
SP13,E2,P20,01/19/2021,16380,203,1092
SP24,E1,P14,01/19/2021,3899,102,279
SP05,E3,P10,01/19/2021,12075,264,432
SP11,E2,P18,01/19/2021,10696,115,428
SP19,E2,P03,01/19/2021,4039,436,238
SP18,E1,P22,01/19/2021,5250,410,202
SP21,E1,P08,01/19/2021,8113,25,508
SP08,E6,P06,01/19/2021,161,95,10
SP07,E6,P10,01/19/2021,8218,205,294
SP06,E5,P15,01/19/2021,742,80,53
SP03,E2,P11,01/19/2021,3087,193,111
SP08,E1,P18,01/19/2021,5110,131,155
SP04,E4,P04,01/19/2021,5873,164,267
SP11,E6,P05,01/19/2021,4641,301,357
SP04,E4,P22,01/20/2021,1155,34,45
SP10,E6,P02,01/20/2021,784,247,49
SP25,E4,P05,01/20/2021,5369,16,384
SP10,E3,P06,01/20/2021,343,338,18
SP10,E6,P19,01/20/2021,7007,38,584
SP15,E1,P15,01/20/2021,126,127,13
SP16,E1,P08,01/20/2021,3073,57,134
SP19,E4,P21,01/21/2021,7805,86,488
SP09,E6,P11,01/21/2021,3087,14,124
SP13,E4,P21,01/21/2021,9030,85,452
SP04,E2,P20,01/21/2021,7805,6,411
SP18,E1,P11,01/21/2021,6979,38,233
SP19,E1,P07,01/21/2021,11284,39,513
SP17,E5,P01,01/21/2021,2408,106,90
SP03,E6,P02,01/21/2021,5299,86,332
SP10,E6,P16,01/21/2021,6293,158,234
SP08,E5,P03,01/21/2021,280,408,17
SP05,E1,P13,01/21/2021,644,483,30
SP07,E5,P21,01/21/2021,2191,65,110
SP16,E4,P21,01/21/2021,427,267,26
SP14,E3,P20,01/21/2021,5537,346,426
SP18,E5,P08,01/21/2021,742,264,31
SP23,E3,P13,01/21/2021,4200,457,248
SP08,E6,P15,01/21/2021,5299,203,442
SP08,E2,P17,01/21/2021,3829,286,160
SP20,E4,P18,01/21/2021,5747,70,192
SP06,E4,P13,01/21/2021,2345,199,147
SP12,E4,P09,01/22/2021,4312,181,616
SP25,E4,P13,01/22/2021,1358,68,68
SP01,E2,P09,01/22/2021,13146,85,1644
SP05,E5,P14,01/22/2021,12047,295,927
SP08,E3,P20,01/22/2021,5971,44,460
SP16,E4,P02,01/22/2021,3038,280,254
SP20,E6,P16,01/22/2021,8022,167,268
SP16,E3,P15,01/22/2021,2226,1,248
SP10,E3,P17,01/22/2021,2366,470,79
SP24,E5,P02,01/22/2021,8386,194,599
SP03,E3,P16,01/22/2021,13230,261,576
SP17,E6,P03,01/22/2021,1771,151,111
SP13,E6,P04,01/22/2021,3416,458,228
SP17,E6,P13,01/22/2021,15197,11,634
SP08,E4,P15,01/22/2021,5971,59,498
SP02,E6,P09,01/22/2021,13335,227,1667
SP23,E3,P21,01/22/2021,4613,54,210
SP12,E1,P12,01/22/2021,10430,110,580
SP20,E2,P03,01/22/2021,168,94,10
SP25,E6,P08,01/22/2021,4606,256,192
SP11,E6,P14,01/22/2021,1491,193,136
SP02,E1,P08,01/25/2021,12194,302,509
SP12,E6,P04,01/25/2021,10122,206,533
SP09,E5,P08,01/25/2021,1841,164,88
SP16,E6,P09,01/25/2021,6958,337,580
SP07,E1,P08,01/25/2021,749,323,35
SP16,E6,P04,01/25/2021,3507,48,195
SP17,E4,P15,01/25/2021,7294,122,562
SP10,E1,P12,01/25/2021,5040,219,420
SP10,E1,P16,01/25/2021,3913,257,157
SP09,E2,P02,01/25/2021,3598,101,300
SP19,E2,P10,01/25/2021,8911,302,319
SP08,E4,P22,01/25/2021,42,35,2
SP13,E1,P21,01/25/2021,2282,222,109
SP23,E3,P08,01/25/2021,12964,242,541
SP09,E3,P20,01/25/2021,5775,219,361
SP16,E4,P10,01/25/2021,10787,100,400
SP20,E5,P21,01/25/2021,6342,115,374
SP14,E1,P22,01/25/2021,11564,46,463
SP03,E2,P04,01/25/2021,2793,37,156
SP18,E3,P19,01/25/2021,1603,81,134
SP06,E5,P03,01/25/2021,3052,357,180
SP12,E3,P21,01/25/2021,1659,82,83
SP01,E4,P05,01/25/2021,3143,82,210
SP02,E2,P21,01/25/2021,12782,212,609
SP21,E4,P19,01/25/2021,343,313,32
SP10,E4,P14,01/25/2021,1785,216,138
SP10,E3,P09,01/25/2021,4914,46,615
SP18,E6,P14,01/26/2021,1869,242,208
SP04,E1,P10,01/26/2021,8512,173,387
SP23,E6,P09,01/26/2021,9296,1,716
SP20,E5,P07,01/26/2021,6034,229,263
SP22,E1,P11,01/26/2021,9471,166,365
SP15,E1,P22,01/26/2021,3815,146,166
SP01,E4,P06,01/26/2021,9485,140,527
SP16,E2,P16,01/26/2021,3549,78,132
SP04,E6,P09,01/26/2021,1512,61,117
SP13,E3,P16,01/26/2021,2296,113,96
SP11,E1,P01,01/27/2021,17402,43,697
SP15,E6,P12,01/27/2021,11816,160,844
SP17,E4,P16,01/27/2021,10612,232,425
SP01,E2,P01,01/27/2021,5558,263,192
SP21,E6,P04,01/27/2021,14056,148,781
SP09,E2,P16,01/27/2021,5131,171,166
SP16,E2,P08,01/27/2021,1477,352,87
SP06,E5,P04,01/27/2021,7686,72,549
SP23,E6,P13,01/27/2021,8722,35,460
SP08,E6,P16,01/27/2021,6370,35,206
SP03,E6,P13,01/27/2021,4074,208,240
SP24,E4,P11,01/27/2021,1309,97,51
SP07,E5,P20,01/27/2021,4991,137,357
SP04,E3,P22,01/27/2021,6965,91,367
SP15,E5,P18,01/27/2021,10199,497,408
SP12,E4,P21,01/27/2021,7392,9,390
SP01,E4,P12,01/27/2021,5880,71,392
SP04,E2,P11,01/27/2021,5950,25,238
SP14,E2,P16,01/27/2021,10395,57,336
SP22,E1,P07,01/27/2021,6174,33,247
SP04,E4,P19,01/27/2021,15239,170,1524
SP21,E3,P09,01/27/2021,2219,145,247
SP17,E4,P19,01/27/2021,3150,70,243
SP17,E6,P15,01/27/2021,2968,216,212
SP02,E3,P05,01/27/2021,3241,199,163
SP15,E3,P07,01/27/2021,3605,120,151
SP20,E3,P08,01/28/2021,3640,169,174
SP11,E3,P08,01/28/2021,1309,294,77
SP13,E1,P06,01/28/2021,10346,131,739
SP15,E3,P04,01/28/2021,1071,359,54
SP11,E6,P19,01/28/2021,6328,119,791
SP07,E3,P11,01/28/2021,1820,143,68
SP09,E1,P21,01/28/2021,3437,179,157
SP17,E6,P14,01/28/2021,4550,214,455
SP01,E3,P07,01/28/2021,2968,259,110
SP14,E2,P06,01/28/2021,12565,4,898
SP17,E3,P01,01/28/2021,8246,294,318
SP09,E1,P05,01/28/2021,1190,137,70
SP24,E4,P06,01/28/2021,3283,146,183
SP08,E5,P18,01/28/2021,3087,300,115
SP20,E1,P21,01/28/2021,6531,244,297
SP16,E2,P14,01/28/2021,4228,55,249
SP24,E2,P17,01/28/2021,10094,118,389
SP21,E4,P01,01/28/2021,182,46,6
SP22,E4,P14,01/28/2021,616,151,37
SP24,E2,P20,01/29/2021,12131,121,809
SP07,E2,P07,01/29/2021,2394,323,93
SP12,E1,P14,01/29/2021,14287,89,841
SP11,E4,P03,01/29/2021,10941,185,730
SP24,E6,P07,01/29/2021,7777,345,260
SP06,E3,P09,01/29/2021,9436,7,858
SP07,E3,P12,01/29/2021,1267,104,116
SP07,E2,P11,01/29/2021,8806,32,327
SP06,E6,P21,01/29/2021,3640,403,243
SP07,E6,P17,01/29/2021,4900,239,182
SP18,E5,P14,01/29/2021,5558,219,348
SP25,E4,P03,01/29/2021,9142,1,436
SP02,E6,P05,01/29/2021,3514,143,235
SP19,E3,P02,01/29/2021,140,91,10
SP15,E6,P10,02/01/2021,11844,211,439
SP03,E4,P01,02/01/2021,6517,54,233
SP07,E1,P01,02/01/2021,8715,24,282
SP05,E1,P16,02/01/2021,4851,455,180
SP01,E2,P16,02/01/2021,10983,185,379
SP21,E5,P15,02/01/2021,3290,75,329
SP11,E5,P16,02/01/2021,6545,86,212
SP03,E3,P19,02/01/2021,441,7,45
SP14,E1,P21,02/01/2021,9849,75,580
SP09,E4,P14,02/01/2021,3073,9,308
SP17,E2,P16,02/01/2021,4452,75,149
SP12,E3,P13,02/01/2021,10220,105,538
SP09,E6,P19,02/01/2021,3150,11,210
SP07,E2,P20,02/01/2021,6083,43,381
SP08,E6,P12,02/01/2021,14063,140,1407
SP07,E6,P19,02/01/2021,4578,256,306
SP19,E1,P14,02/01/2021,6454,21,461
SP15,E2,P18,02/02/2021,6650,166,256
SP01,E1,P22,02/02/2021,2436,203,94
SP21,E4,P21,02/02/2021,6944,33,331
SP05,E1,P11,02/02/2021,19817,126,684
SP01,E1,P02,02/02/2021,3521,50,235
SP12,E2,P11,02/02/2021,10458,546,327
SP24,E4,P08,02/02/2021,1302,401,57
SP10,E5,P11,02/02/2021,7952,221,249
SP13,E5,P06,02/02/2021,4753,133,265
SP11,E1,P13,02/02/2021,11452,81,546
SP03,E1,P10,02/02/2021,9345,124,390
SP16,E1,P05,02/02/2021,7490,172,357
SP25,E1,P16,02/02/2021,1519,127,57
SP09,E6,P20,02/02/2021,3087,135,155
SP06,E6,P20,02/02/2021,2352,178,168
SP17,E3,P15,02/02/2021,11578,76,891
SP11,E2,P22,02/02/2021,462,223,22
SP24,E1,P17,02/03/2021,6916,32,315
SP11,E1,P09,02/03/2021,3248,101,542
SP25,E3,P01,02/03/2021,6475,431,240
SP23,E6,P22,02/03/2021,9009,129,501
SP17,E3,P14,02/03/2021,2835,20,189
SP14,E1,P01,02/03/2021,7644,77,294
SP19,E6,P19,02/03/2021,3360,48,240
SP19,E2,P05,02/03/2021,1379,246,99
SP22,E2,P16,02/03/2021,9534,229,382
SP17,E2,P22,02/03/2021,14448,28,657
SP24,E2,P15,02/03/2021,3829,432,240
SP03,E4,P09,02/04/2021,9086,206,758
SP15,E3,P01,02/04/2021,5803,299,194
SP25,E6,P18,02/04/2021,182,36,7
SP18,E6,P13,02/04/2021,9863,21,520
SP06,E4,P09,02/04/2021,4046,80,289
SP09,E6,P12,02/04/2021,3493,140,350
SP13,E3,P03,02/04/2021,392,89,18
SP05,E1,P10,02/04/2021,2534,19,111
SP22,E6,P13,02/04/2021,7084,6,308
SP05,E6,P09,02/04/2021,4809,70,344
SP16,E3,P07,02/04/2021,7959,273,266
SP15,E3,P08,02/04/2021,10521,231,527
SP15,E3,P12,02/04/2021,56,168,5
SP19,E6,P15,02/04/2021,3017,103,189
SP12,E1,P09,02/04/2021,18949,300,2707
SP24,E6,P01,02/04/2021,8764,69,338
SP14,E1,P04,02/04/2021,12201,103,643
SP20,E2,P10,02/04/2021,11935,189,460
SP01,E2,P20,02/04/2021,3724,322,266
SP23,E3,P06,02/04/2021,2646,70,166
SP03,E1,P14,02/04/2021,686,18,46
SP12,E5,P20,02/04/2021,2037,272,128
SP23,E1,P21,02/04/2021,6300,208,300
SP11,E3,P22,02/04/2021,2541,14,111
SP04,E1,P04,02/04/2021,1883,97,118
SP08,E1,P10,02/04/2021,10255,180,446
SP22,E6,P11,02/05/2021,5803,98,233
SP09,E1,P02,02/05/2021,8260,239,1033
SP24,E1,P15,02/05/2021,14868,5,1859
SP03,E2,P06,02/05/2021,4137,10,276
SP10,E6,P11,02/05/2021,7161,480,276
SP24,E2,P07,02/05/2021,9625,149,332
SP19,E3,P16,02/05/2021,12852,296,429
SP18,E3,P06,02/05/2021,7546,365,581
SP19,E2,P06,02/05/2021,4123,104,275
SP21,E1,P16,02/05/2021,13174,78,573
SP17,E2,P02,02/05/2021,7637,161,546
SP18,E2,P15,02/05/2021,3311,128,332
SP21,E1,P04,02/05/2021,2338,52,107
SP06,E1,P17,02/08/2021,3465,228,139
SP17,E5,P22,02/08/2021,2345,435,107
SP18,E3,P16,02/08/2021,12698,53,471
SP01,E4,P13,02/08/2021,6678,24,334
SP12,E3,P15,02/08/2021,4851,120,324
SP08,E4,P07,02/08/2021,336,164,12
SP12,E3,P09,02/08/2021,2366,8,198
SP08,E2,P08,02/08/2021,10598,226,461
SP01,E1,P20,02/08/2021,13293,199,665
SP23,E5,P02,02/08/2021,2086,90,261
SP04,E5,P22,02/08/2021,2751,133,120
SP02,E3,P10,02/08/2021,5481,283,275
SP09,E2,P20,02/08/2021,5628,11,433
SP22,E2,P17,02/08/2021,2660,113,89
SP20,E1,P03,02/09/2021,1386,157,82
SP17,E6,P01,02/09/2021,11060,175,382
SP16,E5,P21,02/09/2021,2919,147,172
SP25,E3,P08,02/09/2021,8680,334,457
SP09,E4,P10,02/09/2021,1484,362,71
SP17,E5,P21,02/09/2021,16919,199,996
SP21,E6,P11,02/09/2021,13188,215,440
SP11,G5,P04,02/09/2021,4998,182,294
SP14,G6,P13,02/09/2021,6146,64,342
SP19,G1,P01,02/09/2021,5621,162,217
SP18,G6,P05,02/09/2021,980,75,47
SP13,G2,P03,02/10/2021,7343,116,350
SP01,G3,P17,02/10/2021,1750,9,63
SP05,G1,P06,02/10/2021,2464,90,165
SP09,G2,P01,02/10/2021,1974,47,86
SP22,G5,P19,02/10/2021,11823,52,986
SP15,E4,P13,02/10/2021,7350,250,335
SP15,E3,P15,02/10/2021,4165,170,417
SP03,E1,P13,02/10/2021,630,41,28
SP09,E3,P15,02/10/2021,2282,238,143
SP17,E3,P12,02/10/2021,5250,37,292
SP06,E3,P03,02/10/2021,11676,253,730
SP17,E5,P17,02/10/2021,14917,289,533
SP22,E3,P18,02/11/2021,4634,100,155
SP05,E2,P18,02/11/2021,819,196,27
SP10,E1,P07,02/11/2021,2422,60,106
SP13,E3,P18,02/11/2021,1463,158,59
SP15,E3,P18,02/11/2021,1050,10,32
SP20,E6,P22,02/11/2021,1526,527,85
SP03,E4,P02,02/11/2021,427,163,27
SP06,E2,P10,02/11/2021,10976,132,440
SP04,E4,P05,02/12/2021,6503,299,407
SP13,E6,P08,02/12/2021,21,300,1
SP05,E6,P06,02/12/2021,7063,13,393
SP24,E3,P22,02/12/2021,3990,50,200
SP14,E4,P19,02/12/2021,1806,184,129
SP16,E1,P14,02/12/2021,10136,115,597
SP12,E6,P03,02/12/2021,1288,119,62
SP20,E3,P14,02/12/2021,1295,107,87
SP09,E2,P19,02/12/2021,6461,288,718
SP22,E4,P18,02/12/2021,4949,31,155
SP18,E4,P12,02/12/2021,5432,39,302
SP15,E3,P17,02/12/2021,7112,55,246
SP12,E6,P22,02/12/2021,266,112,11
SP05,E2,P02,02/12/2021,6202,44,414
SP22,E4,P11,02/15/2021,1057,288,43
SP15,E6,P07,02/15/2021,1925,460,67
SP04,E1,P13,02/15/2021,1841,185,77
SP07,E3,P10,02/15/2021,1204,5,61
SP04,E4,P13,02/15/2021,4074,146,186
SP16,E2,P18,02/15/2021,4473,39,150
SP16,E6,P15,02/15/2021,2947,210,246
SP23,E2,P16,02/15/2021,15386,59,642
SP04,E6,P01,02/15/2021,4690,229,188
SP24,E2,P14,02/15/2021,343,158,39
SP14,E3,P05,02/15/2021,3052,393,146
SP19,E5,P18,02/15/2021,686,187,25
SP04,E3,P14,02/15/2021,6993,133,538
SP21,E6,P01,02/16/2021,5236,170,169
SP06,E1,P10,02/16/2021,8638,212,333
SP07,E4,P18,02/16/2021,5712,288,191
SP03,E2,P05,02/16/2021,6258,334,330
SP04,E2,P19,02/16/2021,3234,90,294
SP15,E1,P16,02/16/2021,17577,32,677
SP11,E2,P06,02/16/2021,12684,217,668
SP05,E1,P08,02/16/2021,1239,29,54
SP15,E6,P02,02/16/2021,3402,55,243
SP12,E1,P21,02/16/2021,11382,432,633
SP18,E1,P01,02/16/2021,7133,212,265
SP22,E1,P01,02/17/2021,8309,171,333
SP23,E4,P12,02/17/2021,1435,3,131
SP02,E3,P06,02/17/2021,3227,126,216
SP25,E4,P07,02/17/2021,133,195,6
SP05,E5,P08,02/17/2021,5446,425,273
SP12,E1,P08,02/17/2021,4424,91,261
SP22,E6,P01,02/17/2021,1827,168,80
SP04,E4,P18,02/17/2021,8232,264,305
SP07,E5,P02,02/17/2021,861,262,62
SP01,E4,P19,02/17/2021,8099,178,675
SP17,E5,P20,02/17/2021,5894,592,281
SP25,E2,P11,02/17/2021,8211,601,257
SP07,E1,P11,02/17/2021,10360,206,415
SP14,E6,P01,02/17/2021,5145,98,166
SP08,E6,P02,02/17/2021,9163,235,1146
SP17,E1,P14,02/17/2021,15323,33,1393
SP16,E3,P09,02/17/2021,7994,177,1000
SP13,E3,P21,02/17/2021,6363,87,455
SP20,E4,P22,02/17/2021,3262,185,172
SP05,E5,P07,02/17/2021,2793,93,127
SP17,E1,P16,02/18/2021,8491,338,340
SP02,E5,P17,02/18/2021,13685,39,571
SP21,E3,P14,02/18/2021,770,137,52
SP25,E3,P02,02/18/2021,8631,399,1079
SP22,E4,P12,02/18/2021,4536,120,267
SP17,E6,P08,02/18/2021,14497,21,605
SP17,E5,P21,02/18/2021,7672,112,452
SP03,E5,P08,02/18/2021,10878,329,573
SP02,E5,P02,02/18/2021,12572,94,1397
SP19,E5,P02,02/18/2021,1575,90,105
SP02,E3,P18,02/18/2021,5453,260,166
SP19,E4,P18,02/18/2021,4802,84,155
SP16,E1,P06,02/19/2021,7651,325,426
SP18,E1,P09,02/19/2021,2079,527,260
SP02,E4,P10,02/19/2021,2100,62,81
SP25,E5,P20,02/19/2021,5278,242,406
SP01,E2,P10,02/19/2021,4249,19,164
SP12,E2,P05,02/19/2021,3976,9,210
SP20,E2,P11,02/19/2021,6951,183,218
SP25,E6,P10,02/19/2021,616,161,25
SP09,E6,P13,02/19/2021,5439,115,287
SP10,E1,P02,02/19/2021,63,206,7
SP10,E3,P15,02/19/2021,1533,115,110
SP20,E2,P19,02/19/2021,3535,337,322
SP13,E3,P10,02/19/2021,2429,4,111
SP03,E1,P04,02/19/2021,7119,144,356
SP02,E4,P07,02/19/2021,3521,304,118
SP08,E2,P11,02/19/2021,3745,177,118
SP16,E5,P14,02/19/2021,4816,100,301
SP02,E6,P15,02/19/2021,1736,72,193
SP17,E5,P19,02/19/2021,1099,139,92
SP14,E6,P11,02/19/2021,6692,165,231
SP02,E5,P15,02/22/2021,364,177,31
SP08,E3,P13,02/22/2021,10927,202,476
SP12,E4,P13,02/22/2021,11410,103,476
SP24,E1,P16,02/22/2021,2443,337,82
SP14,E3,P14,02/22/2021,329,257,26
SP04,E4,P07,02/22/2021,3066,144,128
SP19,E4,P15,02/22/2021,567,243,38
SP14,E4,P20,02/22/2021,14721,257,1052
SP09,E4,P21,02/22/2021,6986,11,350
SP06,E2,P13,02/22/2021,14112,158,784
SP08,E6,P20,02/22/2021,1771,605,137
SP15,E5,P22,02/22/2021,5082,164,231
SP12,E3,P03,02/22/2021,1827,48,102
SP18,E1,P07,02/22/2021,182,85,7
SP08,E4,P21,02/22/2021,5369,136,269
SP06,E2,P07,02/22/2021,6034,169,275
SP09,E3,P05,02/22/2021,13209,204,881
SP12,E5,P17,02/22/2021,847,263,30
SP22,E3,P02,02/22/2021,1015,66,64
SP14,E3,P02,02/23/2021,16247,215,2031
SP21,E3,P15,02/23/2021,2422,41,303
SP10,E3,P22,02/23/2021,3997,333,174
SP24,E2,P03,02/23/2021,7182,125,479
SP21,E1,P05,02/23/2021,1246,163,70
SP24,E6,P06,02/23/2021,553,50,27
SP23,E2,P12,02/23/2021,2681,206,207
SP20,E5,P15,02/23/2021,2800,78,234
SP23,E6,P04,02/23/2021,4851,160,304
SP05,E3,P17,02/23/2021,168,3,6
SP11,E5,P12,02/23/2021,315,5,21
SP04,E3,P06,02/23/2021,11851,58,741
SP14,E4,P07,02/23/2021,3220,261,147
SP05,E6,P19,02/23/2021,11935,307,1194
SP03,E3,P22,02/23/2021,12404,186,478
SP22,E5,P12,02/24/2021,1519,132,90
SP22,E1,P17,02/24/2021,10934,182,476
SP25,E6,P22,02/24/2021,3346,179,129
SP24,E3,P10,02/24/2021,8351,36,398
SP12,E6,P14,02/24/2021,11718,76,733
SP17,E3,P10,02/24/2021,2681,115,117
SP22,E1,P02,02/24/2021,6188,292,563
SP11,E5,P08,02/24/2021,10941,182,521
SP11,E3,P01,02/24/2021,3647,220,141
SP23,E3,P22,02/25/2021,2436,130,122
SP11,E3,P17,02/25/2021,896,346,41
SP04,E2,P17,02/25/2021,3808,17,174
SP04,E3,P05,02/25/2021,10920,278,683
SP13,E4,P12,02/25/2021,4186,75,299
SP24,E3,P13,02/25/2021,6797,72,309
SP24,E5,P10,02/25/2021,4319,56,155
SP16,E3,P20,02/25/2021,1673,99,105
SP20,E4,P03,02/25/2021,735,84,35
SP20,E5,P11,02/25/2021,2632,39,106
SP04,E4,P09,02/25/2021,2030,68,170
SP03,E2,P18,02/25/2021,1169,265,47
SP09,E4,P05,02/25/2021,3703,54,206
SP01,E6,P14,02/25/2021,805,48,54
SP23,E6,P20,02/25/2021,406,260,21
SP20,E5,P09,02/25/2021,3591,73,360
SP20,E6,P14,02/25/2021,5551,210,463
